n1,n2,weight
Reagan1984Respect,Reagan1984Afr,0.083523304
Reagan1984Int,Reagan1984Afr,0
Reagan1984Moral,Reagan1984Afr,0.168816915
Reagan1984Kind,Reagan1984Afr,0
Reagan1984Insp,Reagan1984Afr,0
Reagan1984Know,Reagan1984Afr,0
Reagan1984Example,Reagan1984Afr,0
Reagan1984Cares,Reagan1984Afr,0.189121516
Reagan1984Lead,Reagan1984Afr,0
Reagan1984Und,Reagan1984Afr,-0.197382549
Reagan1984Fair,Reagan1984Afr,0
Reagan1984Touch,Reagan1984Afr,0
Reagan1984Angry,Reagan1984Afr,0
Reagan1984Hope,Reagan1984Afr,0.590528723
Reagan1984Afr,Reagan1984Afr,0
Reagan1984Prou,Reagan1984Afr,0.543492306
Reagan1984Disg,Reagan1984Afr,0.22526204
Reagan1984Symp,Reagan1984Afr,0
Reagan1984Uneasy,Reagan1984Afr,2.382446343
Bias,Reagan1984Prou,-1.316731837
Reagan1984Hard,Reagan1984Prou,0.486225933
Reagan1984Decent,Reagan1984Prou,0.263916705
Reagan1984Comp,Reagan1984Prou,0
Reagan1984Respect,Reagan1984Prou,0.184924573
Reagan1984Int,Reagan1984Prou,0
Reagan1984Moral,Reagan1984Prou,0.295794605
Reagan1984Kind,Reagan1984Prou,0
Reagan1984Insp,Reagan1984Prou,0
Reagan1984Know,Reagan1984Prou,0
Reagan1984Example,Reagan1984Prou,0
Reagan1984Cares,Reagan1984Prou,0
Reagan1984Lead,Reagan1984Prou,1.354448624
Reagan1984Und,Reagan1984Prou,0
Reagan1984Fair,Reagan1984Prou,0.183152468
Reagan1984Touch,Reagan1984Prou,0
Reagan1984Angry,Reagan1984Prou,0.182021226
Reagan1984Hope,Reagan1984Prou,0
Reagan1984Afr,Reagan1984Prou,0.543492306
Reagan1984Prou,Reagan1984Prou,0
Reagan1984Disg,Reagan1984Prou,0.912491385
Reagan1984Symp,Reagan1984Prou,0
Reagan1984Uneasy,Reagan1984Prou,0
Bias,Reagan1984Disg,-1.380581979
Reagan1984Hard,Reagan1984Disg,0
Reagan1984Decent,Reagan1984Disg,0.44153905
Reagan1984Comp,Reagan1984Disg,0.725718221
Reagan1984Respect,Reagan1984Disg,0
Reagan1984Int,Reagan1984Disg,0
Reagan1984Moral,Reagan1984Disg,0.778970017
Reagan1984Kind,Reagan1984Disg,0
Reagan1984Insp,Reagan1984Disg,0
Reagan1984Know,Reagan1984Disg,0.158402115
Reagan1984Example,Reagan1984Disg,-0.179688698
Reagan1984Cares,Reagan1984Disg,0
Reagan1984Lead,Reagan1984Disg,0.476602526
Reagan1984Und,Reagan1984Disg,-0.146590803
Reagan1984Fair,Reagan1984Disg,0
Reagan1984Touch,Reagan1984Disg,0
Reagan1984Angry,Reagan1984Disg,1.47066394
Reagan1984Hope,Reagan1984Disg,0.063680266
Reagan1984Afr,Reagan1984Disg,0.22526204
Reagan1984Prou,Reagan1984Disg,0.912491385
Reagan1984Disg,Reagan1984Disg,0
Reagan1984Symp,Reagan1984Disg,0.100874198
Reagan1984Uneasy,Reagan1984Disg,0
Bias,Reagan1984Symp,-2.521623815
